
FSA,SITE_ADDRESS,num_units,Average_Household_Size,Population,Total_EV_Pop,Total_EV_Pop,num_residents_baseline,ev_adoption_rate_baseline
M2R,6200  BATHURST ST ,181.0,2.641476274,40581.0,422.0,362.0,478.1072056,0.008920430743451368
M3K,23  ANTHONY RD ,12.0,2.670628183,7865.0,122.0,99.0,32.0475382,0.012587412587412588
M6M,30  CLEARVIEW HTS ,25.0,2.648652045,42148.0,214.0,185.0,66.21630113,0.004389294865711303
M8V,121  FOURTH ST ,10.0,1.933680845,44144.0,777.0,674.0,19.33680845,0.015268213120695904
M6C,154  VAUGHAN RD ,51.0,2.353570027,23997.0,441.0,403.0,120.0320714,0.01679376588740259
M4A,1780  EGLINTON AVE E,203.0,2.407425743,14589.0,143.0,115.0,488.7074258,0.007882651312632806
M9N,5  BELLEVUE CRES ,326.0,2.490585874,26059.0,173.0,149.0,811.9309949,0.005717794236156414
M5R,95  DAVENPORT RD ,26.0,1.892163236,26197.0,524.0,478.0,49.19624414,0.018246364087490936
M1P,1175  ELLESMERE RD ,65.0,2.739069796,45170.0,386.0,306.0,178.0395367,0.006774407792782821
M2R,6171  BATHURST ST ,170.0,2.641476274,40581.0,422.0,362.0,449.0509666,0.008920430743451368
M6G,805  BLOOR ST W,24.0,2.348066298,30600.0,394.0,356.0,56.35359115,0.011633986928104575
M6H,1094  COLLEGE ST ,19.0,2.270037375,43730.0,372.0,318.0,43.13071013,0.007271895723759433
M5R,339  ALBANY AVE ,42.0,1.892163236,26197.0,524.0,478.0,79.47085591,0.018246364087490936
M4S,75  PETMAN AVE ,26.0,1.956485782,30754.0,770.0,471.0,50.86863033,0.015315080965077714
M1H,45  GREENBRAE CRCT ,112.0,2.77618165,23964.0,233.0,210.0,310.9323448,0.008763144717075613
M1G,45  GREENCREST CRCT ,100.0,2.995636575,30894.0,213.0,187.0,299.5636575,0.00605295526639477
M5R,250  DAVENPORT RD ,460.0,1.892163236,26197.0,524.0,478.0,870.3950886,0.018246364087490936
M4K,10  HOGARTH AVE ,287.0,2.177892067,30913.0,456.0,407.0,625.0550232,0.013165981949341701
M1E,4175  LAWRENCE AVE E,375.0,2.773267898,48033.0,453.0,408.0,1039.975462,0.008494160264817937
M5T,200  ELM ST ,120.0,1.986573458,17903.0,127.0,104.0,238.388815,0.0058090822767134
M1L,3222  ST CLAIR AVE E,16.0,2.853173023,35833.0,295.0,239.0,45.65076837,0.006669829486785924
M9V,20  SANAGAN RD ,86.0,3.235332973,53878.0,358.0,324.0,278.2386357,0.00601358625041761
M3A,1244  YORK MILLS RD ,58.0,2.617582083,34361.0,925.0,624.0,151.8197608,0.018160123395710253
M3C,35  ST DENNIS DR ,331.0,2.438357851,39616.0,461.0,406.0,807.0964487,0.010248384491114702
M9P,1025  SCARLETT RD ,128.0,2.612960385,20645.0,218.0,192.0,334.4589293,0.009300072656817631
,,,,,,,,
M3A,1222  YORK MILLS RD ,25.0,2.617582083,34361.0,925.0,624.0,65.43955208,0.018160123395710253
M5A,274  SACKVILLE ST ,71.0,1.792752562,48978.0,630.0,523.0,127.2854319,0.01067826371023725
M3M,1330  WILSON AVE ,27.0,2.616451308,24906.0,110.0,93.0,70.64418532,0.0037340399903637678
M3L,11  ARLETA AVE ,171.0,3.011726079,19263.0,114.0,91.0,515.0051595,0.00472408243783419
M3H,400-406  WILSON AVE ,33.0,2.601476265,38416.0,610.0,528.0,85.84871675,0.013744273219491879
M6K,15  O'HARA AVE ,32.0,1.852943765,42110.0,388.0,336.0,59.29420048,0.007979102350985513
M2P,16  THE LINKS RD ,102.0,2.528820375,7546.0,345.0,318.0,257.9396783,0.04214153193745031
M9C,320  THE WEST MALL  ,17.0,2.528566765,38725.0,481.0,417.0,42.98563501,0.010768237572627501
M5P,45  GARDINER RD ,41.0,2.075180874,19791.0,541.0,495.0,85.08241583,0.02501136880400182
M4B,508  DAWES RD ,66.0,2.445407962,18612.0,247.0,209.0,161.3969255,0.011229314420803783
M4P,199  ROEHAMPTON AVE ,125.0,1.793115786,25057.0,378.0,309.0,224.1394733,0.012331883306062177
M9M,2  VENA WAY ,272.0,2.969381506,24245.0,162.0,134.0,807.6717696,0.005526912765518663
M8W,256  SHELDON AVE ,76.0,2.380450968,22381.0,408.0,368.0,180.9142736,0.01644251820740807
M4P,140  ERSKINE AVE ,501.0,1.793115786,25057.0,378.0,309.0,898.3510088,0.012331883306062177
M4Y,100  GLOUCESTER ST ,212.0,1.597563121,36319.0,288.0,249.0,338.6833817,0.006855915636443734
M3H,707-711  FINCH AVE W,150.0,2.601476265,38416.0,610.0,528.0,390.2214398,0.013744273219491879
M1K,1021  BIRCHMOUNT RD ,236.0,2.720368174,48175.0,283.0,227.0,642.0068891,0.004711987545407369
M1E,30  LIVONIA PL ,200.0,2.773267898,48033.0,453.0,408.0,554.6535796,0.008494160264817937
M1R,1651  VICTORIA PARK AVE ,67.0,2.790273835,30467.0,282.0,259.0,186.9483469,0.008501001083139134
M2M,6210  YONGE ST ,83.0,2.554221689,31915.0,580.0,531.0,212.0004002,0.016637944540184867
M3A,17  BROOKBANKS DR ,44.0,2.617582083,34361.0,925.0,624.0,115.1736117,0.018160123395710253
M3H,4222  BATHURST ST ,77.0,2.601476265,38416.0,610.0,528.0,200.3136724,0.013744273219491879
M2R,34  CARSCADDEN DR ,69.0,2.641476274,40581.0,422.0,362.0,182.2618629,0.008920430743451368
M4R,515  ROSEWELL AVE ,89.0,2.197232472,11909.0,352.0,313.0,195.55369,0.026282643378957093
M1K,720  KENNEDY RD ,186.0,2.720368174,48175.0,283.0,227.0,505.9884804,0.004711987545407369
M4R,487  DUPLEX AVE ,36.0,2.197232472,11909.0,352.0,313.0,79.10036899,0.026282643378957093
M1R,1600  VICTORIA PARK AVE ,27.0,2.790273835,30467.0,282.0,259.0,75.33739355,0.008501001083139134
M5N,20  SHALLMAR BLVD ,155.0,2.566979183,16154.0,416.0,372.0,397.8817734,0.023028352110932276
M4L,137  SEARS ST ,17.0,2.342956876,32218.0,521.0,460.0,39.83026689,0.014277732944316841
M1R,1731  VICTORIA PARK AVE ,43.0,2.790273835,30467.0,282.0,259.0,119.9817749,0.008501001083139134
M3H,2  FAYWOOD BLVD ,40.0,2.601476265,38416.0,610.0,528.0,104.0590506,0.013744273219491879
M1B,53  GENERATION BLVD ,12.0,3.188007586,65555.0,721.0,559.0,38.25609103,0.00852719090839753
M5M,2200  AVENUE RD ,152.0,2.748787062,25495.0,925.0,811.0,417.8156334,0.03181015885467739
M6E,65  DYNEVOR RD ,90.0,2.537301374,37684.0,271.0,239.0,228.3571237,0.0063422142023139795
M5P,1510  BATHURST ST ,24.0,2.075180874,19791.0,541.0,495.0,49.80434098,0.02501136880400182
M1J,1360  DANFORTH RD ,172.0,2.928995488,37002.0,194.0,169.0,503.7872239,0.004567320685368358
M8V,2493  LAKE SHORE BLVD W,151.0,1.933680845,44144.0,777.0,674.0,291.9858076,0.015268213120695904
M6E,531  CALEDONIA RD ,24.0,2.537301374,37684.0,271.0,239.0,60.89523298,0.0063422142023139795
M4E,2363  QUEEN ST E,20.0,2.342560235,25473.0,495.0,433.0,46.8512047,0.016998390452636125
M5R,100  SPADINA RD ,216.0,1.892163236,26197.0,524.0,478.0,408.707259,0.018246364087490936
M4R,485  DUPLEX AVE ,36.0,2.197232472,11909.0,352.0,313.0,79.10036899,0.026282643378957093
M6A,25  HOTSPUR RD ,11.0,2.429703615,22380.0,211.0,179.0,26.72673977,0.007998212689901698
M6N,31  ROCKCLIFFE BLVD ,39.0,2.52268739,40252.0,279.0,240.0,98.38480821,0.005962436649110604
M6E,3  THORNTON AVE ,17.0,2.537301374,37684.0,271.0,239.0,43.13412336,0.0063422142023139795
M6A,86  NEPTUNE DR ,12.0,2.429703615,22380.0,211.0,179.0,29.15644338,0.007998212689901698
M5A,321  SHERBOURNE ST ,67.0,1.792752562,48978.0,630.0,523.0,120.1144217,0.01067826371023725
M9P,49  SCARLETTWOOD CRT ,14.0,2.612960385,20645.0,218.0,192.0,36.58144539,0.009300072656817631
M6M,5  GREENBROOK DR ,12.0,2.648652045,42148.0,214.0,185.0,31.78382454,0.004389294865711303
M4V,316  LONSDALE RD ,10.0,1.891364082,19273.0,518.0,451.0,18.91364082,0.023400612255486952
M1T,2350  BIRCHMOUNT RD ,190.0,2.615402056,34607.0,344.0,298.0,496.9263906,0.008610974658306124
M4L,1691  GERRARD ST E,66.0,2.342956876,32218.0,521.0,460.0,154.6351538,0.014277732944316841
M1P,4  ANTRIM CRES ,65.0,2.739069796,45170.0,386.0,306.0,178.0395367,0.006774407792782821
M8V,67  LAKE SHORE DR ,18.0,1.933680845,44144.0,777.0,674.0,34.80625521,0.015268213120695904
M6M,11  GULLIVER RD ,42.0,2.648652045,42148.0,214.0,185.0,111.2433859,0.004389294865711303
M4C,195  BARRINGTON AVE ,234.0,2.423926092,46440.0,449.0,393.0,567.1987055,0.008462532299741601
M9R,675  MARTIN GROVE RD ,126.0,2.720705484,33783.0,249.0,213.0,342.808891,0.006304946274753575
M1J,15  COUGAR CRT ,193.0,2.928995488,37002.0,194.0,169.0,565.2961292,0.004567320685368358
M4P,110  KEEWATIN AVE ,32.0,1.793115786,25057.0,378.0,309.0,57.37970515,0.012331883306062177
M6S,101  COE HILL DR ,47.0,2.344079355,34029.0,751.0,678.0,110.1717297,0.019924182315084193
M3N,365  GRANDRAVINE DR ,118.0,2.99633216,40846.0,151.0,129.0,353.5671949,0.0031582039857023943
M1P,4  TREEWOOD ST ,82.0,2.739069796,45170.0,386.0,306.0,224.6037233,0.006774407792782821
M6L,2425  KEELE ST ,12.0,2.75242387,20156.0,120.0,100.0,33.02908644,0.004961301845604287
M6B,837  ROSELAWN AVE ,39.0,2.594707648,28534.0,310.0,273.0,101.1935983,0.009567533468844185
M5P,871  AVENUE RD ,10.0,2.075180874,19791.0,541.0,495.0,20.75180874,0.02501136880400182
M4K,846-850  BROADVIEW AVE ,23.0,2.177892067,30913.0,456.0,407.0,50.09151754,0.013165981949341701
M5G,110  EDWARD ST ,50.0,1.699372604,9751.0,207.0,191.0,84.9686302,0.019587734591323968
M5N,564  EGLINTON AVE W,25.0,2.566979183,16154.0,416.0,372.0,64.17447958,0.023028352110932276
M1N,2404  QUEEN ST E,20.0,2.413191892,22976.0,321.0,301.0,48.26383784,0.013100626740947075
M1K,506  DANFORTH RD ,22.0,2.720368174,48175.0,283.0,227.0,59.84809983,0.004711987545407369
M4J,1275  DANFORTH AVE ,109.0,2.408336761,35128.0,452.0,401.0,262.5087069,0.011415395126394898
M4C,133  MERRILL AVE E,42.0,2.423926092,46440.0,449.0,393.0,101.8048959,0.008462532299741601
M6B,851  BRIAR HILL AVE ,10.0,2.594707648,28534.0,310.0,273.0,25.94707648,0.009567533468844185
M3H,4110  BATHURST ST ,16.0,2.601476265,38416.0,610.0,528.0,41.62362024,0.013744273219491879
M9R,25  BRIDESBURG DR ,62.0,2.720705484,33783.0,249.0,213.0,168.68374,0.006304946274753575
M5T,168  JOHN ST ,180.0,1.986573458,17903.0,127.0,104.0,357.5832224,0.0058090822767134
M4B,2903  ST CLAIR AVE E,12.0,2.445407962,18612.0,247.0,209.0,29.34489554,0.011229314420803783
M6H,1121  BLOOR ST W,11.0,2.270037375,43730.0,372.0,318.0,24.97041113,0.007271895723759433
M5A,176  THE ESPLANADE  ,220.0,1.792752562,48978.0,630.0,523.0,394.4055636,0.01067826371023725
M1E,2877 A  ELLESMERE RD ,126.0,2.773267898,48033.0,453.0,408.0,349.4317551,0.008494160264817937
M6K,176  COWAN AVE ,127.0,1.852943765,42110.0,388.0,336.0,235.3238582,0.007979102350985513
M5P,117  OLD FOREST HILL RD ,28.0,2.075180874,19791.0,541.0,495.0,58.10506447,0.02501136880400182
M4B,9  STAG HILL DR ,15.0,2.445407962,18612.0,247.0,209.0,36.68111943,0.011229314420803783
M6C,105  KENWOOD AVE ,31.0,2.353570027,23997.0,441.0,403.0,72.96067084,0.01679376588740259
M5B,424  YONGE ST ,210.0,1.652314112,17422.0,145.0,111.0,346.9859635,0.006371254735392033
M5A,257  SHERBOURNE ST ,102.0,1.792752562,48978.0,630.0,523.0,182.8607613,0.01067826371023725
M1G,70  STEVENVALE DR ,100.0,2.995636575,30894.0,213.0,187.0,299.5636575,0.00605295526639477
M6A,78  NEPTUNE DR ,12.0,2.429703615,22380.0,211.0,179.0,29.15644338,0.007998212689901698
M6B,111  RIDELLE AVE ,139.0,2.594707648,28534.0,310.0,273.0,360.6643631,0.009567533468844185
M4V,9  DEER PARK CRES ,95.0,1.891364082,19273.0,518.0,451.0,179.6795878,0.023400612255486952
M4Y,60  GLOUCESTER ST ,77.0,1.597563121,36319.0,288.0,249.0,123.0123603,0.006855915636443734
M4H,6  MILEPOST PL ,82.0,3.084969477,18698.0,82.0,59.0,252.9674971,0.003155417691731736
M4J,145  STRATHMORE BLVD ,350.0,2.408336761,35128.0,452.0,401.0,842.9178664,0.011415395126394898
M1N,20  PELL ST ,11.0,2.413191892,22976.0,321.0,301.0,26.54511081,0.013100626740947075
M4P,63  ROEHAMPTON AVE ,56.0,1.793115786,25057.0,378.0,309.0,100.414484,0.012331883306062177
M1K,859  KENNEDY RD ,34.0,2.720368174,48175.0,283.0,227.0,92.49251792,0.004711987545407369
M5R,28  MACPHERSON AVE ,17.0,1.892163236,26197.0,524.0,478.0,32.16677501,0.018246364087490936
M4V,57  LAWTON BLVD ,12.0,1.891364082,19273.0,518.0,451.0,22.69636898,0.023400612255486952
M3J,391  SENTINEL RD ,44.0,2.740008241,26600.0,341.0,287.0,120.5603626,0.010789473684210526
M4K,39  HARCOURT AVE ,15.0,2.177892067,30913.0,456.0,407.0,32.66838101,0.013165981949341701
M1N,1625-1641  KINGSTON RD ,10.0,2.413191892,22976.0,321.0,301.0,24.13191892,0.013100626740947075
M6E,1500  EGLINTON AVE W,34.0,2.537301374,37684.0,271.0,239.0,86.26824672,0.0063422142023139795
M2J,1650  SHEPPARD AVE E,149.0,2.550526533,61761.0,980.0,871.0,380.0284534,0.014102750926960379
M6B,1090  ROSELAWN AVE ,62.0,2.594707648,28534.0,310.0,273.0,160.8718742,0.009567533468844185
M1K,120  TOWN HAVEN PL ,150.0,2.720368174,48175.0,283.0,227.0,408.0552261,0.004711987545407369
M4P,65  KEEWATIN AVE ,50.0,1.793115786,25057.0,378.0,309.0,89.6557893,0.012331883306062177
M4R,137  EGLINTON AVE W,18.0,2.197232472,11909.0,352.0,313.0,39.5501845,0.026282643378957093
M4K,85  GAMBLE AVE ,81.0,2.177892067,30913.0,456.0,407.0,176.4092574,0.013165981949341701
,,,,,,,,
M6C,917  ST CLAIR AVE W,16.0,2.353570027,23997.0,441.0,403.0,37.65712043,0.01679376588740259
M8Y,4  HILL HEIGHTS RD ,33.0,2.202123397,21986.0,458.0,388.0,72.6700721,0.017647593923405803
M9B,41  WARRENDER AVE ,105.0,2.617420066,33236.0,685.0,602.0,274.8291069,0.018112889637742206
M4V,19  LASCELLES BLVD ,157.0,1.891364082,19273.0,518.0,451.0,296.9441609,0.023400612255486952
M1K,998  DANFORTH RD ,21.0,2.720368174,48175.0,283.0,227.0,57.12773165,0.004711987545407369
M6C,330  WINNETT AVE ,39.0,2.353570027,23997.0,441.0,403.0,91.78923105,0.01679376588740259
M3C,34  ST DENNIS DR ,56.0,2.438357851,39616.0,461.0,406.0,136.5480397,0.010248384491114702
M9A,20  ANGLESEY BLVD ,25.0,2.332696715,36642.0,730.0,643.0,58.31741788,0.017548168768080345
M1K,815  KENNEDY RD ,33.0,2.720368174,48175.0,283.0,227.0,89.77214974,0.004711987545407369
M9R,111  BLACKFRIAR AVE ,39.0,2.720705484,33783.0,249.0,213.0,106.1075139,0.006304946274753575
M5S,8  ST THOMAS ST ,16.0,1.893324462,17074.0,165.0,164.0,30.29319139,0.009605247745109523
M4H,50  THORNCLIFFE PARK DR ,57.0,3.084969477,18698.0,82.0,59.0,175.8432602,0.003155417691731736
M8V,12  ALBERT AVE ,12.0,1.933680845,44144.0,777.0,674.0,23.20417014,0.015268213120695904
M8Y,33  RIVERWOOD PKWY ,50.0,2.202123397,21986.0,458.0,388.0,110.1061699,0.017647593923405803
M3L,1746  WILSON AVE ,10.0,3.011726079,19263.0,114.0,91.0,30.11726079,0.00472408243783419
M2P,31  UPPER CANADA DR ,61.0,2.528820375,7546.0,345.0,318.0,154.2580429,0.04214153193745031
M6B,2500  BATHURST ST ,83.0,2.594707648,28534.0,310.0,273.0,215.3607348,0.009567533468844185
M4Y,137  ISABELLA ST ,56.0,1.597563121,36319.0,288.0,249.0,89.46353478,0.006855915636443734
M4Y,120  MAITLAND ST ,24.0,1.597563121,36319.0,288.0,249.0,38.3415149,0.006855915636443734
M6M,7  GREENTREE CRT ,28.0,2.648652045,42148.0,214.0,185.0,74.16225726,0.004389294865711303
M3A,1284  YORK MILLS RD ,63.0,2.617582083,34361.0,925.0,624.0,164.9076712,0.018160123395710253
M6K,3  LAXTON AVE ,42.0,1.852943765,42110.0,388.0,336.0,77.82363813,0.007979102350985513
,,,,,,,,
M5N,4  LATIMER AVE ,65.0,2.566979183,16154.0,416.0,372.0,166.8536469,0.023028352110932276
M1B,37  DURNFORD RD ,28.0,3.188007586,65555.0,721.0,559.0,89.26421241,0.00852719090839753
M8Y,176  BERRY RD ,29.0,2.202123397,21986.0,458.0,388.0,63.86157851,0.017647593923405803
M1N,54  GLEN EVEREST RD ,11.0,2.413191892,22976.0,321.0,301.0,26.54511081,0.013100626740947075
M1K,10  GORDONRIDGE PL ,217.0,2.720368174,48175.0,283.0,227.0,590.3198938,0.004711987545407369
M6C,120  VAUGHAN RD ,24.0,2.353570027,23997.0,441.0,403.0,56.48568065,0.01679376588740259
M9A,289  THE KINGSWAY  ,73.0,2.332696715,36642.0,730.0,643.0,170.2868602,0.017548168768080345
M6P,65  HIGH PARK AVE ,321.0,2.096324728,39870.0,493.0,413.0,672.9202377,0.01035866566340607
M4C,831  COSBURN AVE ,11.0,2.423926092,46440.0,449.0,393.0,26.66318701,0.008462532299741601
M4K,425  BROADVIEW AVE ,11.0,2.177892067,30913.0,456.0,407.0,23.95681274,0.013165981949341701
M6K,200  DUFFERIN ST ,251.0,1.852943765,42110.0,388.0,336.0,465.088885,0.007979102350985513
M5R,1435  BATHURST ST ,15.0,1.892163236,26197.0,524.0,478.0,28.38244854,0.018246364087490936
M4E,2453  QUEEN ST E,16.0,2.342560235,25473.0,495.0,433.0,37.48096376,0.016998390452636125
M5T,170  VANAULEY WALK ,40.0,1.986573458,17903.0,127.0,104.0,79.46293832,0.0058090822767134
M4N,2914  YONGE ST ,46.0,2.579184067,16058.0,644.0,578.0,118.6424671,0.03599451986548761
M8V,66  STATION RD ,16.0,1.933680845,44144.0,777.0,674.0,30.93889352,0.015268213120695904
M4K,11  FERNWOOD GDNS ,12.0,2.177892067,30913.0,456.0,407.0,26.1347048,0.013165981949341701
M3J,3710  KEELE ST ,92.0,2.740008241,26600.0,341.0,287.0,252.0807582,0.010789473684210526
M6P,1914  BLOOR ST W,16.0,2.096324728,39870.0,493.0,413.0,33.54119565,0.01035866566340607
M6M,31  CLEARVIEW HTS ,43.0,2.648652045,42148.0,214.0,185.0,113.8920379,0.004389294865711303
M4P,368  EGLINTON AVE E,149.0,1.793115786,25057.0,378.0,309.0,267.1742521,0.012331883306062177
M6S,4029  OLD DUNDAS ST ,29.0,2.344079355,34029.0,751.0,678.0,67.9783013,0.019924182315084193
M1K,739  BIRCHMOUNT RD ,124.0,2.720368174,48175.0,283.0,227.0,337.3256536,0.004711987545407369
M3H,26  ROSSEAU RD ,11.0,2.601476265,38416.0,610.0,528.0,28.61623892,0.013744273219491879
M8X,2684  BLOOR ST W,21.0,2.319650655,10624.0,423.0,373.0,48.71266376,0.03510918674698795
M1S,30  KIMBERCROFT CRT ,94.0,2.825855342,37663.0,479.0,423.0,265.6304021,0.011231181796458062
M1N,2406  QUEEN ST E,13.0,2.413191892,22976.0,321.0,301.0,31.3714946,0.013100626740947075
M4K,1111  BROADVIEW AVE ,41.0,2.177892067,30913.0,456.0,407.0,89.29357475,0.013165981949341701
M4P,15  ERSKINE AVE ,65.0,1.793115786,25057.0,378.0,309.0,116.5525261,0.012331883306062177
M1J,126  BELLAMY RD N,253.0,2.928995488,37002.0,194.0,169.0,741.0358585,0.004567320685368358
M9V,40  STEVENSON RD ,176.0,3.235332973,53878.0,358.0,324.0,569.4186032,0.00601358625041761
M6L,1577  LAWRENCE AVE W,350.0,2.75242387,20156.0,120.0,100.0,963.3483545,0.004961301845604287
M4S,25  DAVISVILLE AVE ,14.0,1.956485782,30754.0,770.0,471.0,27.39080095,0.015315080965077714
M4L,1636  GERRARD ST E,48.0,2.342956876,32218.0,521.0,460.0,112.46193,0.014277732944316841
M4X,425  SHERBOURNE ST ,26.0,2.01498886,19896.0,101.0,92.0,52.38971036,0.004624045034177724
M8Y,136  BERRY RD ,22.0,2.202123397,21986.0,458.0,388.0,48.44671473,0.017647593923405803
M4L,320  KINGSTON RD ,36.0,2.342956876,32218.0,521.0,460.0,84.34644754,0.014277732944316841
M4V,64  ST CLAIR AVE W,97.0,1.891364082,19273.0,518.0,451.0,183.462316,0.023400612255486952
M4Y,42  MAITLAND ST ,27.0,1.597563121,36319.0,288.0,249.0,43.13420427,0.006855915636443734
M6K,128  SHERIDAN AVE ,68.0,1.852943765,42110.0,388.0,336.0,126.000176,0.007979102350985513
M3M,3018  KEELE ST ,31.0,2.616451308,24906.0,110.0,93.0,81.10999055,0.0037340399903637678
M8V,155  LAKE SHORE DR ,35.0,1.933680845,44144.0,777.0,674.0,67.67882958,0.015268213120695904
M9L,50  PEARLDALE AVE ,96.0,3.111611877,11737.0,162.0,127.0,298.7147402,0.01082048223566499
M1H,1050  MARKHAM RD ,295.0,2.77618165,23964.0,233.0,210.0,818.9735868,0.008763144717075613
M5N,15  SHALLMAR BLVD ,78.0,2.566979183,16154.0,416.0,372.0,200.2243763,0.023028352110932276
M3A,5  BROOKBANKS DR ,124.0,2.617582083,34361.0,925.0,624.0,324.5801783,0.018160123395710253
M5N,640  ROSELAWN AVE ,138.0,2.566979183,16154.0,416.0,372.0,354.2431273,0.023028352110932276
M4L,1550  QUEEN ST E,31.0,2.342956876,32218.0,521.0,460.0,72.63166316,0.014277732944316841
M9V,46  PANORAMA CRT ,222.0,3.235332973,53878.0,358.0,324.0,718.24392,0.00601358625041761
M1J,3171-3181  EGLINTON AVE E,103.0,2.928995488,37002.0,194.0,169.0,301.6865353,0.004567320685368358
M4W,40  ASQUITH AVE ,192.0,1.895180275,15296.0,624.0,506.0,363.8746128,0.033080543933054395
M4J,246  COSBURN AVE ,40.0,2.408336761,35128.0,452.0,401.0,96.33347044,0.011415395126394898
M6K,1251  KING ST W,189.0,1.852943765,42110.0,388.0,336.0,350.2063716,0.007979102350985513
